# SHA-256 is over the raw file content at commit 08aad83f0c5cef1317d74a31519ae3190d726504.
# disposition	component	upstream_path	destination_hint	rationale
ba9cc3a7e074c5cfe3985d6956f24c9f7575592a0483e314c9fcb4f72ee1b615	notice	meta	LICENSE	src-tauri/vendor/anarlog/LICENSE	Preserved verbatim; required for every copy or substantial portion.
ea37e1a3f86770c95013b0457d151650b3d257e0e506e295a58ef855cbac0f74	reference	meta	README.md	-	Product claims and orientation only; not an implementation contract.
157077ae4adc75c99165cbf9ed879943b59a94401f334345e4232395c8c73477	reference	build	Cargo.toml	-	Workspace dependency inventory; never import the workspace wholesale.
1362bca5864ae15d4ac01405d83e29a375879adc3119a5aaf528c9e27f703857	reference	build	rust-toolchain.toml	-	Audit pin uses Rust 1.94; Mimir owns its toolchain.
5aee90ef628ac07434d99e53ddabd5072fccacd32d99e7906f0cdd13700e289e	reference	build	package.json	-	Node 22 and pnpm 11 monorepo metadata; do not merge into Mimir.

50dd367e5cd74aa558887e8032b1cb318f5b2e6ba55f6dceb1e9a45d901fd262	adapt	audio-contract	crates/audio/Cargo.toml	src-tauri/crates/mimir-meeting-audio/Cargo.toml	Recreate a lean dependency set under Mimir ownership.
f869d42a0f90417a1fef22bff306f5749d1166425eff4bfde08496e2db32a80b	candidate	audio-contract	crates/audio/src/lib.rs	src-tauri/crates/mimir-meeting-audio/src/contract.rs	Extract CaptureConfig, raw/AEC CaptureFrame views, stream, provider seam, and tests.
6196c5cb4700667278402534eb22b14dfc1054038aef8fdc6f484825a258fb7d	adapt	audio-capture	crates/audio-actual/Cargo.toml	src-tauri/crates/mimir-meeting-audio/Cargo.toml	Select only macOS dependencies; do not inherit Linux/Windows/native codec sprawl.
b333e06bcf7bcc83e38c57d9901646bfe3b848ef2fd8b0012cac0d9831b3fc25	adapt	audio-capture	crates/audio-actual/src/lib.rs	src-tauri/crates/mimir-meeting-audio/src/lib.rs	Replace Anarlog names, probes, silence playback, and panic-prone device lookup.
8b101c2754b6d65362b4b35f3d21003b6f8df92e93ddec62ac037375dfed546f	candidate	audio-capture	crates/audio-actual/src/async_ring.rs	src-tauri/crates/mimir-meeting-audio/src/async_ring.rs	Realtime-to-async bridge; retain death/drop tests and expose overflow health.
a046e64c5f2545703fe72175610a059456103b392e57de96fd24509e49729987	candidate	audio-capture	crates/audio-actual/src/rt_ring.rs	src-tauri/crates/mimir-meeting-audio/src/rt_ring.rs	Allocation-bounded downmix/conversion helpers and deterministic tests.
aa1799e36018040752381fc9777f5dd475d70f83c8af2e39e80fe7eb322479c5	adapt	audio-capture	crates/audio-actual/src/mic.rs	src-tauri/crates/mimir-meeting-audio/src/macos/mic.rs	Keep bounded realtime capture; surface dropped samples and hot-plug failure as session health.
a020c071f3fd9e040f3f59706b5b16cfb729709532d822a841a2a1309171436d	adapt	audio-capture	crates/audio-actual/src/capture/mod.rs	src-tauri/crates/mimir-meeting-audio/src/capture/mod.rs	Remove hard-coded 50 ms startup sleep and make initialization/rollback explicit.
b1e6748448f40c4f8380d6ae127613b16c5d9f5e014ab5594f51b17c823c4f59	adapt	audio-capture	crates/audio-actual/src/capture/joiner.rs	src-tauri/crates/mimir-meeting-audio/src/capture/joiner.rs	Keep silence-fill tests; replace silent queue drops with metrics and degraded state.
7ad5431139dd18fd6c1b370a625446389bd17dfbd287ce64a0548670097b8f7e	adapt	audio-capture	crates/audio-actual/src/capture/stream.rs	src-tauri/crates/mimir-meeting-audio/src/capture/stream.rs	Keep bounded channel/cancellation/alignment; raw tracks must remain canonical.
58af28e76542785e6f6ba07e8f6fd0bc1bf19be10f17793853e58f08d6b532f4	adapt	audio-capture	crates/audio-actual/src/speaker/mod.rs	src-tauri/crates/mimir-meeting-audio/src/macos/system_audio.rs	Extract only the selected macOS backend and Mimir identity.
fb90773a0fac0946359e676137e6ebce11cbada2e5cd8e803abbf5a0857c6f95	adapt	audio-capture	crates/audio-actual/src/speaker/macos.rs	src-tauri/crates/mimir-meeting-audio/src/macos/system_audio.rs	Core Audio process tap candidate; macOS 14.2+, TCC, teardown, overflow, and package QA required.
8cc80794b9085da33f68bec036e1a3b59a618b5fa39eb9df85315c22c563906f	reference	audio-capture	crates/audio-actual/src/speaker/linux.rs	-	Mimir release target is macOS arm64; revisit only with a separate Linux release goal.
b528a43cc2e8e8cd6f75f78721a43970651bbe95c05425cc432d9c8f1d7e878d	reference	audio-capture	crates/audio-actual/src/speaker/windows.rs	-	Mimir release target is macOS arm64; revisit only with a separate Windows release goal.

116da8adb41290e64e29560d6bd5d70331372ef3de995708601eecba037da95a	adapt	audio-sync	crates/audio-sync/Cargo.toml	src-tauri/crates/mimir-meeting-audio/Cargo.toml	Recreate dependency declaration after benchmark and drift-contract review.
d10baecfd9146254b7d3dfac850e97be4994f47f549644c5b2b5e8b9d0f99b40	candidate	audio-sync	crates/audio-sync/src/lib.rs	src-tauri/crates/mimir-meeting-audio/src/sync/mod.rs	Small public seam for tested lag/drift estimation.
61099639913e71f6b969cba966da51c23c819f2bb924a0d857d45ee739b5523c	candidate	audio-sync	crates/audio-sync/src/drift.rs	src-tauri/crates/mimir-meeting-audio/src/sync/drift.rs	Deterministic drift behavior and tests.
3652e04456bbe4da6bef8c373f2ba2d4450e758b7d2154ebdc5261aebaa3f87e	candidate	audio-sync	crates/audio-sync/src/estimator.rs	src-tauri/crates/mimir-meeting-audio/src/sync/estimator.rs	Estimator candidate; validate long-session stability with fixture/property tests.
cd7c1f8d3a09c3bf579450c65ba6890d49a5eab0f9bb8370be37c9d12cad80fa	candidate	audio-sync	crates/audio-sync/src/level.rs	src-tauri/crates/mimir-meeting-audio/src/sync/level.rs	Signal-level helper with deterministic tests.
6bcdd1cd7f02f291a987e27114e93cb477e82154fb8902f2d6040352937d08c2	adapt	audio-sync	crates/audio-sync/src/probe.rs	src-tauri/crates/mimir-meeting-audio/src/sync/probe.rs	Catch-up/locking behavior is useful; panic containment and health events must be explicit.
f75e7acfba5b17cef8b260525618303182f085a6da5278bdcb6636aa1ae21906	candidate	audio-sync	crates/audio-sync/tests/e2e.rs	src-tauri/crates/mimir-meeting-audio/tests/sync_fixtures.rs	Port fixtures/assertions before implementation.
